Transaction_ID,Date,Month_Year,Category,Description,Amount,Payment_Method,Status
TXN-1003,2025-01-01,January 2025,Housing & Utilities,Rent / Mortgage,1412.42,Credit Card,Paid
TXN-1016,2025-01-04,January 2025,Personal & Lifestyle,Salon & Grooming,170.02,Debit Card,Paid
TXN-1017,2025-01-05,January 2025,Health & Wellness,Health Insurance,321.13,Debit Card,Paid
TXN-1022,2025-01-05,January 2025,Debt & Financial,Personal Loan EMI,363.4,Bank Transfer,Paid
TXN-1011,2025-01-05,January 2025,Transportation,Auto Insurance,241.38,Credit Card,Paid
TXN-1014,2025-01-06,January 2025,Personal & Lifestyle,Hobbies & Books,139.63,Credit Card,Paid
TXN-1001,2025-01-07,January 2025,Housing & Utilities,Electricity Bill,52.48,Credit Card,Paid
TXN-1013,2025-01-08,January 2025,Transportation,Fuel / Petrol,115.65,Credit Card,Paid
TXN-1009,2025-01-09,January 2025,Transportation,Public Transit Pass,127.25,Credit Card,Paid
TXN-1025,2025-01-10,January 2025,Debt & Financial,Emergency Fund Savings,611.65,Credit Card,Paid
TXN-1024,2025-01-10,January 2025,Debt & Financial,Investment Contribution,357.93,UPI / Mobile Wallet,Paid
TXN-1023,2025-01-10,January 2025,Debt & Financial,Credit Card Payment,114.98,Credit Card,Paid
TXN-1020,2025-01-13,January 2025,Entertainment & Subscriptions,Gaming Subscriptions,63.89,Credit Card,Paid
TXN-1010,2025-01-14,January 2025,Transportation,Car Maintenance & Service,171.57,UPI / Mobile Wallet,Paid
TXN-1012,2025-01-15,January 2025,Transportation,Uber / Rideshare,127.9,Bank Transfer,Paid
TXN-1004,2025-01-16,January 2025,Housing & Utilities,Gas Bill,117.59,UPI / Mobile Wallet,Paid
TXN-1007,2025-01-16,January 2025,Food & Groceries,Food Delivery,38.02,Credit Card,Paid
TXN-1015,2025-01-18,January 2025,Personal & Lifestyle,Gym Membership,108.67,Bank Transfer,Paid
TXN-1008,2025-01-19,January 2025,Food & Groceries,Supermarket Groceries,272.65,Credit Card,Paid
TXN-1005,2025-01-21,January 2025,Housing & Utilities,Water & Sewer,15.13,Debit Card,Paid
TXN-1018,2025-01-21,January 2025,Health & Wellness,Pharmacy & Medications,173.59,Credit Card,Paid
TXN-1019,2025-01-21,January 2025,Health & Wellness,Doctor Consultation,59.77,Debit Card,Paid
TXN-1002,2025-01-21,January 2025,Housing & Utilities,Trash Collection,90.78,Debit Card,Paid
TXN-1021,2025-01-24,January 2025,Entertainment & Subscriptions,Concerts & Movies,177.84,Credit Card,Paid
TXN-1006,2025-01-27,January 2025,Food & Groceries,Coffee Shops,18.81,Debit Card,Paid
TXN-1027,2025-02-01,February 2025,Housing & Utilities,Rent / Mortgage,1413.97,Bank Transfer,Paid
TXN-1046,2025-02-01,February 2025,Entertainment & Subscriptions,Streaming Services (Netflix/Spotify),71.94,Credit Card,Paid
TXN-1037,2025-02-01,February 2025,Transportation,Public Transit Pass,73.79,Credit Card,Paid
TXN-1034,2025-02-02,February 2025,Food & Groceries,Coffee Shops,41.6,Debit Card,Paid
TXN-1026,2025-02-03,February 2025,Housing & Utilities,Trash Collection,107.61,Credit Card,Paid
TXN-1038,2025-02-03,February 2025,Personal & Lifestyle,Gym Membership,73.17,Credit Card,Paid
TXN-1049,2025-02-05,February 2025,Debt & Financial,Personal Loan EMI,222.65,UPI / Mobile Wallet,Paid
TXN-1044,2025-02-05,February 2025,Health & Wellness,Health Insurance,240.26,Credit Card,Paid
TXN-1043,2025-02-07,February 2025,Health & Wellness,Pharmacy & Medications,55.73,Debit Card,Paid
TXN-1033,2025-02-07,February 2025,Food & Groceries,Food Delivery,170.57,Credit Card,Paid
TXN-1039,2025-02-09,February 2025,Personal & Lifestyle,Hobbies & Books,99.27,Debit Card,Paid
TXN-1040,2025-02-10,February 2025,Personal & Lifestyle,Apparel & Clothing,129.25,Credit Card,Paid
TXN-1047,2025-02-10,February 2025,Debt & Financial,Investment Contribution,576.45,Debit Card,Paid
TXN-1048,2025-02-10,February 2025,Debt & Financial,Emergency Fund Savings,340.43,Credit Card,Paid
TXN-1032,2025-02-11,February 2025,Food & Groceries,Dining Out & Restaurants,82.71,Credit Card,Paid
TXN-1035,2025-02-12,February 2025,Transportation,Car Maintenance & Service,147.61,Debit Card,Paid
TXN-1042,2025-02-17,February 2025,Health & Wellness,Doctor Consultation,75.0,Credit Card,Paid
TXN-1031,2025-02-17,February 2025,Housing & Utilities,Water & Sewer,162.8,Credit Card,Paid
TXN-1030,2025-02-17,February 2025,Housing & Utilities,Gas Bill,42.03,Credit Card,Paid
TXN-1029,2025-02-19,February 2025,Housing & Utilities,Internet / Broadband,43.23,Debit Card,Paid
TXN-1028,2025-02-19,February 2025,Housing & Utilities,Electricity Bill,84.9,Credit Card,Paid
TXN-1041,2025-02-22,February 2025,Personal & Lifestyle,Salon & Grooming,170.58,Credit Card,Paid
TXN-1045,2025-02-22,February 2025,Entertainment & Subscriptions,Gaming Subscriptions,176.14,Credit Card,Paid
TXN-1036,2025-02-26,February 2025,Transportation,Uber / Rideshare,160.74,Credit Card,Paid
TXN-1051,2025-03-01,March 2025,Housing & Utilities,Rent / Mortgage,1296.23,Credit Card,Paid
TXN-1073,2025-03-05,March 2025,Debt & Financial,Personal Loan EMI,299.76,Debit Card,Paid
TXN-1059,2025-03-05,March 2025,Transportation,Auto Insurance,414.79,Credit Card,Paid
TXN-1068,2025-03-05,March 2025,Health & Wellness,Health Insurance,347.28,Debit Card,Paid
TXN-1067,2025-03-08,March 2025,Health & Wellness,Pharmacy & Medications,75.47,UPI / Mobile Wallet,Paid
TXN-1074,2025-03-10,March 2025,Debt & Financial,Emergency Fund Savings,684.28,Credit Card,Paid
TXN-1056,2025-03-10,March 2025,Food & Groceries,Dining Out & Restaurants,49.5,Credit Card,Paid
TXN-1072,2025-03-10,March 2025,Debt & Financial,Investment Contribution,732.08,Credit Card,Paid
TXN-1054,2025-03-11,March 2025,Housing & Utilities,Electricity Bill,58.12,Credit Card,Paid
TXN-1055,2025-03-11,March 2025,Housing & Utilities,Gas Bill,95.28,UPI / Mobile Wallet,Paid
TXN-1058,2025-03-12,March 2025,Transportation,Uber / Rideshare,30.36,Debit Card,Paid
TXN-1070,2025-03-13,March 2025,Entertainment & Subscriptions,Streaming Services (Netflix/Spotify),175.55,Debit Card,Paid
TXN-1053,2025-03-14,March 2025,Housing & Utilities,Internet / Broadband,57.62,Debit Card,Paid
TXN-1064,2025-03-14,March 2025,Personal & Lifestyle,Apparel & Clothing,15.84,Debit Card,Paid
TXN-1065,2025-03-16,March 2025,Personal & Lifestyle,Salon & Grooming,129.16,Cash,Paid
TXN-1050,2025-03-16,March 2025,Housing & Utilities,Water & Sewer,149.71,UPI / Mobile Wallet,Paid
TXN-1060,2025-03-19,March 2025,Transportation,Public Transit Pass,61.01,Bank Transfer,Paid
TXN-1062,2025-03-20,March 2025,Transportation,Car Maintenance & Service,161.48,Credit Card,Paid
TXN-1052,2025-03-20,March 2025,Housing & Utilities,Trash Collection,21.73,Credit Card,Paid
TXN-1066,2025-03-21,March 2025,Health & Wellness,Doctor Consultation,54.15,Credit Card,Paid
TXN-1069,2025-03-22,March 2025,Entertainment & Subscriptions,Gaming Subscriptions,119.99,Credit Card,Paid
TXN-1061,2025-03-24,March 2025,Transportation,Fuel / Petrol,163.02,Debit Card,Paid
TXN-1063,2025-03-25,March 2025,Personal & Lifestyle,Gym Membership,76.43,Bank Transfer,Paid
TXN-1057,2025-03-26,March 2025,Food & Groceries,Food Delivery,123.9,Cash,Paid
TXN-1071,2025-03-27,March 2025,Entertainment & Subscriptions,Concerts & Movies,164.51,Bank Transfer,Paid
TXN-1077,2025-04-01,April 2025,Housing & Utilities,Rent / Mortgage,1489.09,UPI / Mobile Wallet,Paid
TXN-1082,2025-04-01,April 2025,Transportation,Fuel / Petrol,137.23,Credit Card,Paid
TXN-1093,2025-04-05,April 2025,Debt & Financial,Personal Loan EMI,175.6,Credit Card,Paid
TXN-1087,2025-04-05,April 2025,Health & Wellness,Health Insurance,415.99,Credit Card,Paid
TXN-1083,2025-04-05,April 2025,Transportation,Auto Insurance,362.67,Debit Card,Paid
TXN-1079,2025-04-07,April 2025,Housing & Utilities,Internet / Broadband,61.48,Credit Card,Paid
TXN-1086,2025-04-08,April 2025,Personal & Lifestyle,Salon & Grooming,47.06,Bank Transfer,Paid
TXN-1080,2025-04-08,April 2025,Food & Groceries,Supermarket Groceries,424.01,Credit Card,Paid
